SampleID,DIL1,DIL2,DIL3,DIL4,DIL5,OA1,OA2,OA3,OA4,OA5
2210408I21Rik,0,26.91955123,0.661753065,33.12687621,12.2907978,7.784456282,15.60031934,62.43984596,2.762296541,7.977074417
2210409E12Rik,0,2.035670341,0,0,0,0,0,0,0,0
2210418O10Rik,437.808108,161.2504253,719.632137,269.0803587,395.8185024,350.1445137,262.9289132,298.6388986,271.7595419,806.5554041
2300002M23Rik,0,2.708268266,0,2.984897768,9.94706298,0,7.513777344,12.63337563,0,5.170388521
2300003K06Rik,40.85018142,0.993509379,1.589693085,15.17124305,31.58380571,0,11.93098114,0,13.31028954,0
2300009A05Rik,0,19.04597033,0,0.320091326,2.503759935,36.96197655,3.146779412,15.658162,16.98407459,0
2310002L09Rik,0,7.453103264,0,88.31378919,3.665033493,8.938151952,3.155236312,4.760097149,0,0
2310003L06Rik,0,0.494500243,0,22.66027357,15.80074402,5.616002161,8.73796774,0,0,0
2310009B15Rik,0,3.291522776,9.583673836,13.16190921,13.36580505,0,2.574139396,19.26653174,0,0
2310011J03Rik,0,70.14008399,41.30616934,27.35116815,10.52726193,11.22391294,20.63671636,7.453288474,68.65633412,22.11685179
2310022A10Rik,182.8702031,89.85919409,209.3183641,111.585666,129.291024,190.0491095,143.8303061,161.0036757,272.4095591,307.5935996
2310022B05Rik,68.21772141,217.4604788,25.4422125,57.20104009,41.1263369,14.96769613,43.60211333,84.98228171,28.77554113,20.85827162
2310030G06Rik,0,21.43509082,7.906997988,46.21827034,4.083945372,39.64526951,1.978372579,13.76384436,51.21261712,2.042096708
2310033P09Rik,0,24.31157214,0,14.20618348,2.103878617,3.742272712,7.946382738,7.467438124,0,0
2310034C09Rik,24.4439827,3.500578673,4.761045288,11.45376773,5.251605721,0,0,1.070476553,4.437952794,0
2310034G01Rik,0,3.470811655,19.07466354,0,3.158729833,0,1.589828406,14.93671949,0,18.46037185
2310039H08Rik,2.705453558,54.15296588,0,4.816361455,12.59968966,0,27.15698538,1.075963426,0,0
2310040G07Rik,0,8.444159112,0,6.994621456,6.55719441,2.289434808,0.978814588,0,6.012991638,8.945974621
2310046K23Rik,0,130.4674191,33.05566249,77.39471098,45.06835482,13.1162632,21.58116122,35.59530792,0,17.35648881
2310050C09Rik,0,96.11318386,9.521889892,45.61507908,9.454581366,0,22.26063399,33.10986831,2.216483374,18.46640876
2310057J18Rik,0,15.49471133,0,35.98850084,5.351161049,25.00214727,7.483112878,9.935280113,1.877632999,3.12597476
2310057M21Rik,87.99341279,47.92613249,59.62665019,89.95656886,130.5283949,90.60708875,92.14590553,94.05716955,146.2684235,79.95051427
